project,revision_num,cr_smell_lack_of_cr,cr_smell_ping_pong,cr_smell_sleeping_reviews,cr_smell_missing_context,cr_smell_large_changesets,cr_smell_review_buddies,at_least_one_cr_smell,is_increased
couchbase-java-client,37960,1,1,1,1,1,0,1,0
couchbase-java-client,38364,0,0,1,0,0,0,1,1
couchbase-java-client,38668,0,0,0,0,0,0,0,0
couchbase-java-client,38739,0,0,0,1,0,0,1,0
couchbase-java-client,38796,0,0,0,0,0,0,0,0
couchbase-java-client,38866,0,0,1,0,0,0,1,0
couchbase-java-client,39110,1,0,0,1,0,0,1,0
couchbase-java-client,39157,1,0,0,1,0,0,1,0
couchbase-java-client,39265,1,0,0,1,0,0,1,0
couchbase-java-client,39346,0,0,0,0,0,0,0,0
couchbase-java-client,39347,0,1,0,0,0,0,1,0
couchbase-java-client,39351,1,0,0,1,0,0,1,0
couchbase-java-client,39412,1,0,0,1,0,0,1,0
couchbase-java-client,39429,0,0,0,0,0,0,0,0
couchbase-java-client,39434,1,0,0,1,0,0,1,0
couchbase-java-client,39485,0,1,0,1,0,0,1,0
couchbase-java-client,40058,0,0,0,0,0,0,0,0
couchbase-java-client,40263,0,0,0,0,0,0,0,0
couchbase-java-client,40296,1,0,0,1,1,0,1,1
couchbase-java-client,40332,1,0,0,1,0,0,1,0
couchbase-java-client,40335,1,0,0,1,0,0,1,1
couchbase-java-client,40336,1,0,0,1,0,0,1,0
couchbase-java-client,40378,1,0,0,1,1,0,1,0
couchbase-java-client,40379,1,0,0,1,0,0,1,0
couchbase-java-client,40380,1,0,0,1,0,0,1,1
couchbase-java-client,40496,1,0,0,1,1,0,1,1
couchbase-java-client,40500,1,0,0,1,0,0,1,0
couchbase-java-client,40525,1,0,0,1,0,0,1,0
couchbase-java-client,40527,1,0,0,1,0,0,1,0
couchbase-java-client,40536,1,0,0,1,0,0,1,0
couchbase-java-client,40538,1,0,0,1,0,0,1,0
couchbase-java-client,40558,1,0,0,1,0,0,1,0
couchbase-java-client,40559,1,0,0,1,0,0,1,0
couchbase-java-client,40560,0,0,0,1,0,0,1,0
couchbase-java-client,40564,1,0,0,1,0,0,1,0
couchbase-java-client,40685,0,0,1,0,0,0,1,0
couchbase-java-client,40694,1,0,0,1,0,0,1,0
couchbase-java-client,40695,1,0,0,1,0,0,1,1
couchbase-java-client,40724,1,0,0,1,0,0,1,0
couchbase-java-client,40726,1,0,0,1,0,0,1,0
couchbase-java-client,40794,1,0,0,1,0,0,1,0
couchbase-java-client,40795,1,0,0,1,0,0,1,0
couchbase-java-client,40823,1,0,0,1,0,0,1,0
couchbase-java-client,40827,1,0,0,1,0,0,1,0
couchbase-java-client,40829,1,0,0,1,0,0,1,0
couchbase-java-client,40835,1,0,0,1,0,0,1,0
couchbase-java-client,40838,1,0,0,1,1,0,1,1
couchbase-java-client,40846,1,0,0,1,1,0,1,1
couchbase-java-client,40913,0,0,0,1,0,0,1,0
couchbase-java-client,41131,0,1,1,0,1,0,1,1
couchbase-java-client,41352,0,1,1,1,1,0,1,1
couchbase-java-client,41429,0,0,0,0,0,0,0,0
couchbase-java-client,41431,0,0,0,1,0,0,1,0
couchbase-java-client,41433,1,0,0,1,0,0,1,0
couchbase-java-client,41438,0,0,0,1,0,0,1,0
couchbase-java-client,41454,0,0,0,1,0,0,1,0
couchbase-java-client,41484,1,0,0,1,0,0,1,0
couchbase-java-client,41492,1,0,0,1,1,0,1,0
couchbase-java-client,41677,0,0,0,0,0,0,0,0
couchbase-java-client,41734,0,1,0,1,0,0,1,0
couchbase-java-client,41740,0,0,0,1,0,0,1,0
couchbase-java-client,41741,0,0,0,0,0,0,0,0
couchbase-java-client,41786,0,0,0,0,0,0,0,0
couchbase-java-client,41904,0,0,0,1,0,0,1,0
couchbase-java-client,41945,0,0,0,0,0,0,0,0
couchbase-java-client,41986,0,0,0,0,0,0,0,0
couchbase-java-client,42072,0,0,0,0,0,0,0,0
couchbase-java-client,42073,0,1,0,0,0,0,1,0
couchbase-java-client,42074,0,0,0,0,0,0,0,0
couchbase-java-client,42076,0,0,0,1,0,0,1,0
couchbase-java-client,42111,0,0,0,0,0,0,0,0
couchbase-java-client,42117,0,1,0,0,0,0,1,0
couchbase-java-client,42121,0,0,0,0,0,0,0,0
couchbase-java-client,42158,0,0,0,0,0,0,0,0
couchbase-java-client,42159,0,0,0,0,0,0,0,0
couchbase-java-client,42203,0,0,0,0,0,1,1,0
couchbase-java-client,42324,0,0,0,0,0,0,0,0
couchbase-java-client,42331,0,0,0,0,0,0,0,0
couchbase-java-client,42346,0,0,0,0,0,0,0,0
couchbase-java-client,42347,0,0,0,0,0,0,0,0
couchbase-java-client,42348,0,0,0,0,0,0,0,0
couchbase-java-client,42349,0,0,0,0,0,1,1,0
couchbase-java-client,42363,0,1,0,0,0,0,1,0
couchbase-java-client,42415,0,1,1,0,0,1,1,0
couchbase-java-client,42417,0,0,1,0,0,1,1,0
couchbase-java-client,42597,0,0,0,0,0,1,1,0
couchbase-java-client,42609,0,1,0,0,0,1,1,0
couchbase-java-client,42711,0,0,0,0,0,0,0,0
couchbase-java-client,43357,0,0,0,0,0,1,1,0
couchbase-java-client,43359,0,0,0,0,0,1,1,0
couchbase-java-client,43362,0,0,0,0,0,1,1,0
couchbase-java-client,43407,0,1,0,1,0,0,1,0
couchbase-java-client,43440,0,0,0,0,0,1,1,1
couchbase-java-client,43556,0,1,0,0,0,0,1,1
couchbase-java-client,43557,0,1,0,0,0,0,1,0
couchbase-java-client,43765,0,1,0,0,0,0,1,0
couchbase-java-client,43832,0,0,0,0,0,1,1,0
